kod;masco2020;keterangan
;132137;Pengurus Gudang
;132201;Pengurus Pengeluaran dan Operasi, Perlombongan
;132202;Pengurus Pengeluaran dan Operasi, Kuari
;132203;Pengurus Pengeluaran dan Operasi, Pengekstrakan Minyak dan Gas
;132204;Pengurus Pengekstrakan Minyak dan Gas
;132205;Pengurus Perlombongan
;132206;Pengurus Kuari
;132207;Pengurus Pemasangan Luar Pesisir
;132208;Pengurus Pengeluaran Bahan Api Teknologi Hijau
;132209;Pengawal Pengeluaran Perlombongan
;132210;Pengurus Kaji Logam
;132211;Pengurus Pemasangan Luar Pesisir: Minyak atau Gas
;132212;Pengurus Loji Perlombongan
;132213;Pengurus Perkhidmatan Lapangan Lombong
;132301;Pengurus Pembinaan
;132302;Pengurus Pengeluaran dan Operasi, Pembinaan
;132303;Pengurus Kontrak Pembinaan
;132304;Pengurus Operasi Pembinaan
;132305;Pengurus Projek Pembinaan
;132306;Pengurus Tapak Pembinaan
;132307;Pengurus Tugas Pembinaan
;132308;Pembangun Projek Pembinaan
;132309;Pengurus Binaan Awam dan Struktur
;132310;Pengurus Senibina dan Bangunan
;132311;Pengurus Ukur Tanah
;132312;Pengarah Kejuruteraan Pembinaan
;132313;Pengurus Kejuruteraan Pembinaan
;132314;Pengurus Penyelenggaraan Kemudahan Bangunan Hijau
;132315;Penolong Pengurus Penyelenggaraan Kemudahan Bangunan Hijau
;132316;Pengurus Perobohan Bangunan
;132317;Penolong Pengurus Perobohan Bangunan
;132318;Pembangun Bangunan Hijau
;132319;Pengurus Ukur Bahan
;132320;Kontraktor Pembinaan
;132321;Ketua Arkitek
;132401;Ketua Stesen Kereta api
;132402;Pengurus Pengangkutan
;132403;Pengurus Bekalan
;132404;Pengurus Gudang
;132405;Pengurus Logistik
;132406;Pengurus Pembelian
;132407;Pengurus Pengeluaran dan Operasi, Pengangkutan
;132408;Pengurus Pengeluaran dan Operasi, Pengangkutan (Saluran Paip)
;132409;Pengurus Pengeluaran dan Operasi, Pengangkutan (Trafik Angkut Barang)
;132410;Pengurus Pengeluaran dan Operasi, Pengangkutan (Trafik Penumpang)
;132411;Pengurus Pengagihan
;132412;Pengurus Pengeluaran dan Operasi, Penyimpanan
;132413;Pengurus Penyimpanan
;132414;Pengurus Perkapalan
;132415;Pengurus Sistem Saluran Paip
;132416;Pengurus Operasi Logistik Halal
;132417;Pengurus Kawalan Bahan
;132418;Penolong Pengurus Kawalan Bahan
;132419;Pengurus Penyelenggaraan Kereta Elektrik
;132420;Pengurus Penyelenggaraan Kenderaan Gas Asli
;132421;Penolong Pengurus Penyelenggaraan Kenderaan Gas Asli
;132422;Pengurus Penyelenggaraan Kenderaan Sel Bahan Api
;132423;Pengurus Pembelian Pemprosesan Daging Halal
;132424;Pengurus Kenderan Udara Tanpa Pemandu (UAV)
;141101;Pengurus Hotel
;141102;Pengurus Asrama Gred N41
;141103;Pengurus Hostel
;141104;Pengurus Motel
;141105;Pengurus Pengeluaran dan Operasi, Hotel
;141106;Pengurus Rumah Penginapan
;141107;Pengurus Rumah Tamu
;141108;Pengurus Rumah Tumpangan
;141109;Pengurus Kaunter Depan
;141110;Pengurus Kaunter Pejabat
;141111;Pengurus Perkhidmatan Makanan dan Minuman
;141112;Pengurus Resort
;141113;Pengurus Penginapan
;141114;Pengurus Pengendalian Makanan
;141115;Pengurus Acara Hotel
;141201;Pengurus Restoran
;141202;Pengurus Bar
;141203;Pengurus Kafe
;141204;Pengurus Kantin
;141205;Pengurus Kafe, Bar dan Snack-Bar
;141206;Pengurus Katering
;141207;Pengurus Pengeluaran dan Operasi, Restoran
;141208;Pengurus Restoran Layan Diri
;141209;Pengurus Disko
;141210;Pengurus Bilik Jamuan
;141211;Pengurus Kedai Teh
;141215;Pengurus Jurumasak
;142101;Pengurus Perdagangan Runcit
;142102;Pengurus Pengeluaran dan Operasi, Perdagangan Runcit
;142103;Pemborong
;142104;Pengurus Perdagangan Borong
;142105;Pengurus Perdagangan Runcit, Kedai Layan Diri
;142106;Pengurus Perdagangan Runcit, Kedai-Pesanan Dalam Talian
;142107;Pengurus Jualan Eksport
;142108;Pengurus Pengeluaran dan Operasi, Perdagangan Borong
;142109;Pengurus Perdagangan Borong, Eksport
;142110;Pengurus Perdagangan Borong, Import
;142111;Peraih
;142112;Peruncit
;142113;Pengurus Pengeluaran dan Operasi, Perdagangan Runcit (Kedai)
;142114;Pengurus Pengeluaran dan Operasi, Perdagangan Runcit (Pasar Raya)
;151101;Ketua Pegawai Maklumat
;151102;Ketua Pegawai Data
;151103;Ketua Pegawai Keselamatan Maklumat
;151104;Ketua Pegawai Teknologi Maklumat
;151105;Ketua Arkitek Teknologi Maklumat
;151106;Pengurus Sistem Maklumat
;151107;Pengurus Teknologi Maklumat
;151108;Pengurus Pusat Komuniti Desa
;151109;Pengurus Pengeluaran dan Operasi Komunikasi
;151110;Pengurus Perkhidmatan Komputer
;151111;Pengurus Pemprosesan Data
;151112;Pengurus Pembangunan Aplikasi
;151113;Pengurus Operasi Data
;151114;Pengurus Pembangunan ICT
;151115;Pengarah Sistem Maklumat
;151116;Penyedia Perkhidmatan Internet
;151117;Pengurus Rangkaian
;151118;Pengarah Animasi
;151119;Pengurus Audio Visual
;151120;Pengurus Pangkalan Data
;151121;Pengurus Keselamatan Komputer
;151122;Pengurus Projek Teknologi Maklumat
;151123;Pengurus Infrastruktur Teknologi Maklumat
;151124;Pengurus Program Teknologi Maklumat
;151125;Pengurus Jualan Teknologi Maklumat
;151126;Pengurus Sumber Teknologi Maklumat
;151127;Pengurus Bioinformatik
;151128;Pengurus Kreatif Multimedia
;151129;Pengurus Prestasi Rangkaian
;151130;Pengurus Operasi Rangkaian
;151131;Pengurus Penempatan Rangkaian
;151132;Pengurus Pembangunan Perniagaan Teknologi Maklumat
;151133;Pengurus Transformasi Teknologi
;151134;Pengurus Sokongan Teknologi Maklumat
;151135;Pengurus Pembangunan Perisian
;151136;Pengurus Pembangunan Aplikasi E-Dagang
;151137;Pengurus Tadbir Teknologi Maklumat
;151138;Pengurus Pemodelan Maklumat Bangunan (BIM)
;151139;Pengurus Risiko (Teknologi Maklumat)
;151140;Pengarah Keselamatan Siber
;151141;Pengurus Operasi Keselamatan (Teknologi Maklumat)
;151142;Pengurus Solution Architect
;151143;Pengurus Software Architect 
;151144;Pengurus Data Analisis
;151145;Ketua Seksyen Analisis Kegagalan
;151146;Pengurus Kandungan (ICT)
;151147;Pengurus Data
;161101;Pengurus Pusat Asuhan Kanak-Kanak
;161201;Pengarah Perkhidmatan Perubatan
;161202;Pengarah Jururawat
;161203;Pengurus Kesihatan
;161204;Pentadbir Hospital
;161205;Pengurus Operasi Kesihatan
;161206;Pengurus Perubatan (Pentadbiran Perubatan)
;161207;Pengarah Klinikal
;161208;Koordinator Penjagaan Kesihatan Komuniti
;161209;Pentadbir Perubatan
;161210;Pengurus Phytonutrients
;161211;Pendidik Kesihatan
;161212;Pengarah Kemudahan Kesihatan
;161213;Pengarah Perkhidmatan Kesihatan
;161214;Pentadbir Kemudahan Kesihatan
;161215;Pengurus Perkhimatan Kesihatan
;161216;Matron, hospital
;161217;Ketua Pegawai Klinikal
;161218;Ketua Pegawai Kesihatan Awam
;161219;Pengurus Farmasi
;161301;Pengurus Perkhidmatan Penjagaan Orang Tua
;161302;Pengarah Rumah Penjagaan Orang Tua
;161303;Penyelaras Komuniti Penjagaan Orang Tua
;161304;Pengurus Kemudahan Penjagaan Orang Tua
;161305;Pengurus Rumah Penjagaan
;161306;Pengurus Pusat Penjagaan Orang Tua
;161307;Pengurus Asrama Penjagaan Orang Tua
;161308;Matron, Rumah Penjagaan
;161401;Pengurus Kerja Sosial
;161402;Pengurus Operasi Kerja Sosial
;161403;Pengurus Pusat Komuniti
;161404;Pengurus Pusat Kebajikan
;161405;Pengurus Khidmat Keluarga
;161406;Pengurus Khidmat Perumahan
;161501;Pengurus Pendidikan
;161502;Canselor
;161503;Pengetua
;161504;Guru Besar
;161505;Pengurus Operasi Pendidikan
;161506;Dekan
;161507;Dekan Fakulti
;161508;Ketua Fakulti
;161509;Naib Canselor
;161510;Pengarah Sekolah
;161511;Pengetua Kolej
;161512;Pengetua Sekolah
;161513;Pengetua Universiti
;161514;Pemimpin Universiti
;161515;Pengurus Latihan Vokasional
;161601;Pengurus Cawangan Kewangan dan Insurans
;161602;Pengurus Cawangan Kewangan
;161603;Pengurus Cawangan Insurans
;161604;Pengurus Bank
;161605;Pengurus Kesatuan Kredit
;161606;Pengurus Agensi Insurans
;161701;Pengurus Perundangan dan Pengurusan Risiko
;161702;Pengurus Perundangan
;161801;Pengurus Penyelenggaraan Harta
;161802;Pengurus Harta
;161803;Pengurus Hartanah
;1619;PENGURUS PERKHIDMATAN  PROFESIONAL YANG TIDAK DIKELASKAN DI MANA-MANA
;162101;Pengurus Aktiviti Sukan
;162102;Pengurus Rekreasi
;162103;Pengurus Agensi Pelancongan
;162104;Pengurus Taman
;162105;Pengurus Sukan
;162106;Pengurus Alam Sekitar
;162107;Pengurus Kasino
;162108;Pengurus Kelab
;162109;Pengurus Litar Lumba Kuda
;162110;Pengurus Medan Karavan
;162111;Pengurus Pelayaran
;162112;Pengurus Permainan
;162113;Pengurus Pusat Sukan
;162114;Pengurus Stadium
;162115;Pengurus Sukan and Rekreasi
;162116;Pengurus Tapak Perkhemahan
;162117;Pengurus Pengeluaran dan Operasi, Pentas
;162118;Pengurus Lumba Kereta
;162119;Pengurus e-Sukan
;162201;Pengurus Perkhidmatan Penjagaan Diri
;162202;Pengurus Pencucian
;162203;Pengurus Sanitari
;162204;Pengurus Sistem Pelupusan Sampah
