kod;masco2020;keterangan
;541410;Pengawal
;541411;Pengawal Keselamatan
;541412;Pengawal Pejabat
;541413;Penyelia Keselamatan
;541414;Penyelia Kawalan
;541415;Pengawal Muzium
;541416;Pengawal Patrol
;541417;Penjaga Pintu
;541418;Ketua Pengawal Keselamatan
;541419;Pasukan Sukarelawan Malaysia (RELA)
;541420;Jaga Gred K3
;541421;Jaga
;541422;Pengawas Operasi Sokongan Navigasi
;541501;Pegawai Imigresen Gred KP19
;541502;Pembantu Penguasa Kastam Gred WK19
;541901;Pegawai Lain-Lain Pangkat Penguat kuasa Maritim Gred T1
;541902;Warden Permainan
;541903;Warden Taman Haiwan Rekreasi
;541904;Warden Hidupan Liar
;541905;Penyiasat Perindustrian
;541906;Penyelia Rekreasi
;541907;Atendan Kolam Renang
;541908;Penyelamat
;541909;Juruselam Penyelamat
;541910;Pengawal Pantai
;541911;Warden Lalu lintas
;541912;Peronda Lebuhraya
;541913;Pengawal Trafik
;541914;Pegawai Kawalan Haiwan
;541915;Peronda Pantai
;541916;Pengawal Lintasan Jalan
;541917;Detektif Pasar Raya
;541918;Pembantu Penyiasatan KR17
;541919;Pengawas Pemulihan N1
;541920;Pembantu Pertahanan Awam Gred KP19
;541921;Pemeriksa Cap Jari Gred N19
;541922;Pembantu Pegawai Faedah Sosial
;541923;Pembantu Penguatkuasa Gred KP19
;541924;Pembantu Eksekutif (Penguatkuasaan) Gred L11
;541925;Pembantu Pegawai Pelesenan
;541926;Pembantu Pegawai Pengeluaran Pasport
;541927;Pembantu Pegawai Permit Bangunan (Pelesenan)
;541928;Pembantu Pegawai Permit Perniagaan (Pelesenan)
;541929;Pembantu Pendaftaran Gred KP19
;541930;Pembantu Hidupan Liar Gred G11
;611101;Penanam Tanaman Ladang
;611102;Penanam Getah
;611103;Penanam Kelapa
;611104;Penanam Kelapa Sawit
;611105;Penanam Betik
;611106;Penanam Pisang
;611107;Penanam Abaka
;611108;Penanam Buah Naga
;611109;Penanam Nenas
;611110;Penanam Pokok Selingan Gilir
;611111;Penanam Padi
;611112;Konduktor Lapangan dan Kilang Getah
;611113;Konduktor Lapangan dan Kilang Kelapa Sawit
;611114;Inspektor Kualiti Ladang
;611115;Mandor Ladang
;611116;Pemeriksa Ladang
;611117;Penggred Kelapa Sawit
;611118;Penyelia Ladang
;611119;Pekerja Kemahiran Pertanian (Tanaman ladang)
;611120;Penanam Tembakau
;611121;Petani Ladang
;611122;Penyelia Estet
;611123;Penanam buah-buahan
;611124;Penanam Kenaf
;611125;Penanam Durian
;611126;Penanam Rambutan
;611127;Penanam Tanaman Berserat
;611128;Penanam Pokok Nipah
;611129;Penanam Pokok Pinang
;611130;Petani Bijirin
;611131;Petani Kapas
;611132;Penanam Buah-buahan Tropika
;611133;Penanam Sagu (rumbia)
;611134;Penanam Kayu Gaharu
;611135;Penanam Rempah Ratus
;611136;Penanam Strawberi
;611201;Penanam Pokok Renek
;611202;Penanam Koko
;611203;Penanam Teh
;611204;Penanam Buah Delima
;611205;Penanam Kopi
;611206;Penanam Anggur
;611207;Penanam Buah-Buahan Lerai
;611208;Penanam Jagung
;611209;Penanam Tembikai
;611210;Penanam Tebu
;611211;Penanam Mangga
;611212;Penanam Buah Belimbing
;611213;Penanam Buahan Sitrus
;611214;Penanam Jambu
;611215;Penanam Buah Beri
;611216;Penanam Buah Kekacang
;611217;Penanam Pokok Roselle
;611218;Penanam Aromatik
;611301;Pekebun
;611302;Penanam Bunga
;611303;Penanam Hortikultur
;611304;Penanam Hidroponik
;611305;Penanam Cendawan
;611306;Penanam Bonsai
;611307;Pekebun Landskap
;611308;Pekerja nurseri
;611309;Penanam Pokok Hiasan
;611401;Penanam Tanaman Campuran
;611402;Peladang Tanaman Campuran
;611403;Pekerja Kemahiran Pertanian (tanaman campuran)
;611501;Penanam Sayur-Sayuran
;611502;Penanam Sayuran Kekacang
;611503;Pekebun Cili
;611504;Penanam Kobis
;611505;Penanam Asparagus
;611506;Penanam Bayam
;611507;Penanam Salad
;611508;Penanam Timun
;611509;Penanam Tomato
;611510;Petani Kentang
;612101;Pembiak baka Haiwan Ternakan
;612102;Pembiak baka Haiwan Tenusu
;612103;Pekerja Kemahiran Ladang Ternakan Campuran
;612104;Pengeluar Haiwan Tenusu
;612105;Penternak Haiwan Ternakan
;612106;Gembala
;612107;Pengeluar Haiwan Ternakan
;612108;Pemerah Susu
;612109;Penternak
;612110;Penternak Lembu
;612111;Penterna Kerbau
;612112;Penternak Kambing
;612113;Penternak Kuda
;612114;Penternak Unta
;612115;Penternak Khinzir
;612116;Pembiak baka, Kuda
;612117;Pembiak baka, Kucing
;612118;Pembiak baka, Lembu
;612119;Pembiak baka, Anjing
;612120;Pembiak baka, Rusa
;612121;Penternak, Haiwan Tenusu
;612201;Penternak Angsa
;612202;Penternak Ayam
;612203;Penternak Burung
;612204;Penternak Itik
;612205;Pembiak baka Ayam Itik
;612206;Penternak Ayam Itik
;612207;Penternak Ostrich
;612208;Pembiak baka Ayam Laga
;612209;Jurupembiakbakaan Ayam Itik
;612210;Penternak, Pengeluaran Telur
;612211;Penternak, Ayam Turkey
;612212;Pembiak baka Penetasan Ayam Itik
;612213;Operator Inkubator (Ladang)
;612214;Penentu Jantina, Ayam Itik
;612301;Pemelihara Lebah
;612302;Penternak Lebah Madu
;612303;Pekerja Pemeliharaan Lebah
;612304;Penternak Kelulut
;612305;Pekerja Kemahiran Penternakan Lebah
;612306;Penternak Ulat Sutera
;612307;Pemelihara Ulat Sutera
;612308;Pekerja Kemahiran Serikultur
;612901;Pemvaksin
;612902;Pekerja Inkubator
;612903;Penternak Ular
;612904;Penternak Buaya
;612905;Penternak Lintah
;612906;Penternak Cacing
;612907;Pembiak baka Reptilia
;612908;Pembiak baka Siput
;613101;Peladang Hasil Campuran (Tanaman dan Penternakan)
;613102;Penternak (Ternakan Campuran)
;613103;Pekerja Kemahiran Ladang (Ternakan Campuran)
;621101;Pengawas Hutan Gred G19
;621102;Pembalak
;621103;Penebang Pokok Hutan
;621104;Juruarah Balak
;621105;Pemanjat Pokok Tinggi, Pembalakan
;621106;Pembalak Bawah Air
;621107;Penanda Balak
;621108;Penebang Balak
;621109;Penggred Balak
;621110;Pengukur Balak
;621111;Juruisyarat Pembalakan
;621112;Operator Yarder
;621113;Operator Pencengkam Balak
;621114;Pekerja Kemahiran Perhutanan
;621115;Pembuat Rakit Balak
;621116;Pemeriksa Balak
;621117;Pengawas Hutan
;621118;Pengikat Tanjul Pembalakan
;621119;Pengupas Balak
;621120;Penyelia Pembalakan
;621121;Pembakar Arang
;621122;Renjer Hutan Gred G19
;621123;Renjer Hutan
;622101;Penternak Ternakan Air
;622102;Penternak Perikanan
;622103;Pemelihara Mutiara
;622104;Pekerja Kemahiran Ladang Ikan
;622105;Penanam Algae
;622106;Pekerja Kemahiran Ladang Makanan Laut
;622107;Penternak Ikan Hiasan
;622108;Penternak Ternakan Air Bercengkerang
;622109;Penternak Gamat
;622110;Penternak Penyu
;622111;Pengeluar Produk Hidupan Laut
;622112;Penternak Akuakultur
;622113;Penternak Makanan Laut
;622114;Penternak Tiram
;622115;Pembiak Mutiara
;622116;Pengeluar Keropok
;622117;Pengeluar Otak-otak
;622118;Pengeluar Bebola Ikan
;622119;Pekerja Penetasan Ikan
;622120;Pembiak Ikan
;622121;Pengeluar Ikan Masin
;622201;Pekerja Perikanan, Kelong
;622202;Pekerja Perikanan, Pedalaman
;622203;Pekerja Perikanan, Pantai
;622204;Penyelam Mutiara
;622205;Penyelam Tiram
;622206;Awak-Awak
;622207;Tekong
;622208;Nelayan Komersil
;622209;Pekerja perikanan
;622210;Nelayan (Pedalaman)
;622211;Nelayan (Pantai)
;622301;Pekerja Perikanan Laut Dalam
;622302;Nelayan (Laut dalam)
;622303;Anak Kapal Pukat Tunda
;622304;Kapten Perikanan (Laut dalam)
;622401;Pemburu
;622402;Penjerat
;631101;Penanam Tanaman Sara Diri
;632101;Peladang Ternakan Sara Diri
;633101;Peladang Tanaman dan Ternakan Campuran Sara Diri
;633102;Penternak, Campuran dan Sara Diri
;633103;Pekerja Ladang, Kemahiran (Perladangan Sara Diri)
;634101;Pengutip Petai
;634102;Pengutip Damar
;634103;Pemungut Kerang-Kerangan
;634104;Pengutip Sarang Burung
;634105;Pemungut Rumpai Laut
;634106;Pemungut Buah-Buahan Herba dan Sayur-Sayuran Hutan
;634107;Nelayan Sara Diri
;634108;Pemungut Sara Diri
;634109;Pemungut Batu Hiasan
;634110;Pengutip Nira Kelapa
;634111;Pengutip Madu Lebah
;634112;Nelayan
;634113;Pengutip, Pemburu
;634114;Perangkap
;634115;Penyelam, Sara Diri
;634116;Pemburu, Sara Diri
;634117;Pemungut Hasil Hutan
;711101;Pembina Rumah
;711102;Pekerja Penyelenggaraan Bangunan
;711103;Pengendali Perancah
;711104;Pekerja Kerangka Bangunan
;711105;Penegak
;711106;Barbender
;711107;Pekerja Binaan
;711108;Pemasang Pracetak Konkrit IBS (Sistem Binaan Berindustri)
;711109;Pemasang Panel Lightweight IBS (Sistem Binaan Berindustri)
;711201;Penerap Bata
;711202;Penerap Bata Tanah
;711203;Pengatur Bebendul Jalan
;711204;Pekerja Binaan Bata
;711205;Penyusun Batu
;711206;Penerap Bata Blok
;711207;Penerap Bata Tahan Panas
;711208;Pembina Cerobong Asap
;711209;Penerap Bata, Pembinaan
;711210;Tukang Batu, Pembinaan
;711301;Pemecah Batu
;711302;Pekerja Pelarik Batu
;711303;Pemotong Batu
;711304;Penggergaji Batu
;711305;Penggred Batu
;711306;Pengukir Batu
;711307;Pencanai Batu
;711308;Pengukir dan Penyusun Monumen
;711309;Penggilap Batu
;711310;Pemotong Granit
;711311;Penyiap Batu
;711312;Tukang Batu
;711313;Pemecah Pasir
;711314;Pengemas Batu
;711315;Operator Mesin Pelarik Batu
;711316;Pemotong dan Pengemas Batu
;711401;Pekerja Konkrit Bertetulang
;711402;Pekerja Penutup Acuan Konkrit
;711403;Pekerja Penutup Konkrit
;711404;Pekerja Besi Bertetulang
;711405;Pelentur Keluli
;711406;Pengemas Simen
;711407;Pekerja Simen
;711408;Pekerja Simen, Telaga Petroleum dan Gas
;711409;Pemasang Keluli
;711501;Tukang Kayu
;711502;Tukang Kayu Pembinaan
;711503;Tukang Tanggam Pembinaan
;711504;Tukang Tanggam Kapal
;711505;Pembina Bot Kayu
;711506;Serimala Kayu
;711507;Tukang Kayu Kapal
;711508;Tukang Tanggam Pesawat
;711509;Tukang Kayu Pentas dan Studio
;711510;Tukang Kayu Meja
;711511;Tukang Ukir Kayu
;711512;Tukang Tanggam
;711513;Penyusun Kayu
;711514;Pembelah Kayu
;711901;Tukang Pasang Longkang
;711902;Pekerja Peruntuhan
;711903;Pemasang Papan Iklan
;711904;Tukang Menara
;712101;Pemasang Bumbung
;712102;Pemasang Bumbung Jerami
;712103;Pemasang Bumbung, Asfalt
;712104;Pemasang Bumbung, Asbestos
;712105;Pemasang Bumbung, Genting
;712106;Pemasang Bumbung, Zink
;712107;Pemasang Atap Pelindung
;712108;Pemasang Siling
;712109;Pemasang Bumbung, Rencaman
;712201;Pemasang Jubin
;712202;Pengatur Jubin
;712203;Pengatur Marmar
;712204;Pemasang Parket
;712205;Pemotong-Pengatur Mozek
;712206;Penerap Jubin
;712207;Pemotong Marmar
;712208;Penggilap Marmar
;712301;Tukang Plaster
;712302;Tukang Plaster, Stucco
;712303;Tukang Plaster, Gentian
;712304;Tukang Plaster, Hiasan
;712305;Tukang Plaster, Pepejal
;712401;Tukang Penebat
;712402;Tukang Penebat, Bangunan
;712403;Tukang Penebat, Dandang
;712404;Tukang Penebat, Paip
;712405;Tukang Penebat, Bunyi
;712406;Tukang Penebat, Peralatan Penyejukan
;712407;Tukang Penebat, Peralatan Penghawa Dingin
;712408;Tukang Penebat, Kalis Bunyi
;712409;Pemasang Penebat
;712501;Tukang Kaca
;712502;Tukang Kaca, Bangunan
;712503;Tukang Kaca, Kenderaan
;712504;Tukang Kaca, Plumbum
;712505;Tukang Kaca, Paten Bumbung
;712506;Tukang Kaca, Plat
;712507;Tukang Kaca, Bumbung
;712601;Tukang Paip
;712602;Jurugegas Paip
;712603;Jurugegas Tiub Paip Pesawat
;712604;Jurugegas Paip, Bekalan Air
;712605;Jurugegas Paip, Kumbahan
;712606;Jurugegas Paip, Marin
;712607;Jurugegas Paip, Pengalihudaran
;712608;Penggali Telaga
;712609;Jurugegas
;712610;Tukang Pasang Paip
;712611;Tukang Boring Air
;712701;Mekanik Kelengkapan Penyejukan
;712702;Mekanik Kelengkapan Penyaman Udara
;713101;Tukang Cat
;713102;Tukang Cat, Kaca
;713103;Tukang Cat, Seramik
;713104;Tukang Cat, Bangunan
;713105;Tukang Cat, Struktur Keluli
;713106;Pemasang Kertas Dinding
;713107;Tukang Cat, Barangan Buatan Kilang
;713108;Tukang Cat, Logam
;713109;Pengecat Papan Tanda
;713110;Tukang Cat, Badan Kapal
;713111;Pengecat Salutan Serbuk
;713201;Penyembur Cat
;713202;Penyembur Cat, Logam
;713203;Penyembur Cat, Kenderaan
;713204;Penyembur Varnis
;713205;Penyembur Varnis, Barangan Buatan Kilang
;713206;Penyembur Varnis, Logam
;713207;Penyembur Varnis, Kayu
;713208;Penyembur Varnis, Rotan
;713301;Pencuci Luar Bangunan
;713302;Pembagas Pasir (luar bangunan)
;713303;Penyapu Cerobong Asap
;721101;Pembuat Acuan
;721102;Pembaik Acuan Foundri
;721103;Pembuat Acuan Lantai Foundri
;721104;Pembuat Acuan Logam
;721105;Pembuat Acuan Lubang Foundri
;721106;Pembuat Teras
;721107;Pembuat Teras Logam
;721108;Pemeriksa Teras Foundri
;721109;Tukang Acuan
;721110;Jurufoundri
;721201;Jurukimpal
;721202;Pemotong Besi
;721203;Fomen Pengimpal
;721204;Tukang Penunu Plumbum
;721205;Jurukimpal Arka Tungsten Gas
;721206;Jurukimpal Bawah Laut
;721207;Tukang Loyang
;721208;Pengimpal Logam
;721209;Jurukimpal Paip Gas
;721210;Pengimpal Fabrikator
;721301;Pekerja Kepingan Logam
;721302;Tukang Tembaga
;721303;Pembuat Dandang
;721304;Tukang Tebuk
;721305;Pekerja Kepingan Logam Kenderaan
;721306;Pekerja Kepingan Logam Perhiasan
;721307;Pekerja Kepingan Logam Pesawat Udara
;721308;Pengetuk Panel Kenderaan
;721309;Pengetuk Panel Pesawat
;721310;Tukang Tanda Kepingan Logam
;721311;Tukang Pateri
;721312;Pemateri Logam
;721313;Pemateri
;721401;Pekerja Keluli Struktur
;721402;Penegak Kerangka Keluli
;721403;Pembuat Plat Kapal
;721404;Pekerja Rivet (pasak)
;721405;Tukang Tanda Kerangka Logam
;721406;Serimala Kapal Logam
;721407;Penegak Kerangka Logam
;721408;Penyedia Kerangka Logam
;721409;Jurugegas Badan Kapal
;721501;Jurutali
;721502;Jurutali Peralatan Angkat
;721503;Jurutali Peralatan Angkat, Pembinaan
;721504;Jurutali Pembalakan
;721505;Jurutali Kapal
;721506;Jurutali Penggerudian Telaga Petroleum dan Gas
;721507;Penyambung Tali Kabel
;721508;Jurutali Pesawat Udara
;721509;Jurutali Kabel Kereta api
;722101;Tukang Besi
;722102;Tukang Tukul
;722103;Pekerja Drop-Hammer
;722104;Pekerja Penempaan Logam
;722105;Tukang Perkakas
;722201;Pembuat Perkakas Acuan
;722202;Pembuat Pola Foundri Logam
;722203;Pembuat Jig dan Lekapan
;722204;Tukang Tanda Logam
;722205;Tukang Anak Kunci
;722206;Tukang Kunci
;722207;Tukang Senjata Api
;722208;Jurugegas Penyelenggaraan Peralatan Statik
;722301;Pelaras Mesin Kerja Logam
;722302;Pengendali Mesin Kerja Logam
;722303;Pengeset Mesin Kerja Logam
;722304;Pengendali Mesin Boring
;722305;Pengeset Alatan Mesin
;722306;Pengendali Alatan Mesin
;722307;Pengendali Pengeset Alatan Mesin
;722401;Pencanai Logam
;722402;Pengasah Alat Pemotong
;722403;Pengasah Alat Mesin
;722404;Pembaik Gergaji
;722405;Pengasah Gergaji
;722406;Tukang Servis Gergaji
;722407;Pencanai Kad Tekstil
;722408;Pencanai Aci Engkol
;722409;Penggilap Logam
;722410;Pengemas Logam
;722411;Pencanai Ulir
;722412;Pengasah Pisau
;722413;Pencanai Alatan
;723101;Mekanik
;723102;Mekanik Jentolak
;723103;Mekanik Motosikal
;723104;Mekanik Kenderaan Bermotor
;723105;Mekanik Bengkel
;723106;Mekanik Garaj
;723107;Pekerja Bengkel
;723108;Fomen Kenderaan
;723109;Mekanik Automotif
;723110;Pembuat Bingkai Badan Kenderaan
;723111;Pemukul Panel Badan Kenderaan
;723112;Pemasang Sealant
;723113;Pemerinci Kereta
;723114;Mekanik Automotif Sistem Perkhidmatan Brek
;723115;Jurugegas Diesel (pengangkutan jalan)
;723116;Jurugegas Enjin (kereta motor)
;723117;Mekanik Sistem Enjin dan Minyak Kenderaan Bermotor
;723118;Mekanik Mekatronik Kenderaan Bermotor
;723119;Pembaik Kenderaan Bermotor
;723120;Mekanik Enjil Kecil
;723121;Ketua Mekanik
;723122;Mekanik Penyelenggaraan Kereta Elektrik
;723123;Mekanik Penyelenggaraan Kenderaan Gas Asli
;723124;Mekanik Penyelenggaraan Kenderaan Bahan Api
;723125;Kru Pit
;723201;Mekanik Enjin Pesawat
;723202;Jurugegas Enjin Pesawat
;723203;Mekanik Perkhidmatan Pesawat
;723204;Mekanik Helikopter
;723205;Mekanik Penyelenggaraan Pesawat (Kerangka Pesawat Udara)
;723206;Mekanik Penyelenggaraan Pesawat (Enjin)
;723207;Mekanik Pesawat
;723208;Mekanik Loji Kuasa dan Kerangka Pesawat Udara
;723209;Mekanik Kerangka Pesawat Udara
;723210;Mekanik Enjin Jet
;723211;Mekanik Sistem Pneudraulik (Pesawat)
;723212;Mekanik Loji Kuasa (Pesawat)
;723213;Mekanik Komponen Enjin Roket
;723301;Mekanik Jentera
;723302;Mekanik Jentera Perlombongan
;723303;Mekanik Alat Mesin
;723304;Mekanik Jentera Perindustrian
;723305;Mekanik Penyelenggaraan Loji
;723306;Pekerja Sapu Minyak dan Gris
;723307;Mekanik Jentera Pembinaan
;723308;Pembaik Jentera Pembinaan
;723309;Pembaik Jentera Ladang
;723310;Jurugegas Jentera Perlombongan
;723311;Pembaik Jentera Perlombongan
;723312;Jurugegas Enjin Pegun
;723313;Pembaik Enjin Pegun
;723314;Jurumesin Industri
;723315;Jurumesin CNC (Kawalan Berangka Komputer)
;723316;Penuras Jentera
;723401;Pembaik Basikal
;723402;Pembaik Beca
;723403;Pembaik Kincir
;723404;Mekanik Basikal
;723405;Pembaik Kereta Bayi
;723406;Pembaik Kerusi Roda
;723901;Mekanik Enjin Marin
;723902;Mekanik Kapal
;723903;Jurugegas Enjin Kereta api
;723904;Pembaik Enjin Kereta api
;723905;Pembantu Pemeriksa Kilang dan Jentera Gred J19
;723906;Pembantu Mekanik
;731101;Pembuat Instrumen Jitu
;731102;Pembuat Instrumen Pembedahan
;731103;Pembuat Instrumen Saintifik
;731104;Pembuat Peralatan Fotografi
;731105;Pembuat Prostesis Pergigian
;731106;Pembuat Peralatan Ortopedik
;731107;Pembuat Jam
;731108;Pembuat Instrumen Optik
;731109;Pembuat Alat Imbangan
;731110;Pembuat Barometer
;731111;Pembuat Instrumen Meteorologi
;731112;Pembuat Instrumen Nautika
;731113;Pembaik Prostesis Pergigian
;731114;Pembaik Peralatan Ortopedik
;731115;Pembaik Jam
;731116;Pembaik Instrumen Optik
;731117;Pembaik Alat Imbangan
;731201;Pembuat Peralatan Muzik
;731202;Penala Peralatan Muzik
;731203;Pembuat Peralatan Muzik Bertali
;731204;Pembuat Piano
;731205;Pembuat Dram
;731206;Pembuat Peralatan Muzik Tiup
;731207;Pelarik Peralatan Muzik
;731301;Tukang Barang Kemas
;731302;Tukang Emas
;731303;Tukang Perak
;731304;Tukang Pewter
;731305;Pembaik Barang Kemas
;731306;Penggred Emas
;731307;Pemotong Permata
;731308;Pengatur Permata
;731309;Penggelek Logam Berharga
;731310;Pengukir Barang Kemas
;731311;Penggilap Permata
;731312;Penyadur Enamel Barang Kemas
;731313;Pekerja Penggelek Emas
;731401;Tukang Tembikar
;731402;Penekan Acuan Bata dan Jubin
;731403;Pembentuk Tembikar dan Porselin
;731404;Penuang Tembikar dan Porselin
;731405;Pelarik Tembikar dan Porselin
;731406;Pelempar Alin Tembikar dan Porselin
;731407;Pembuat Acuan Tembikar dan Porselin
;731408;Penekan Tembikar dan Porselin
;731409;Pengendali Mesin Jig Tembikar dan Porselin
;731501;Pembengkok Kaca
;731502;Peniup Kaca
;731503;Pemotong Kaca
;731504;Pemotong Kaca Optik
;731505;Penggilap Kaca
;731506;Pencanai Kaca
;731507;Pembuat Acuan Kanta Kaca
;731508;Pengemas Kaca
;731509;Pembikin Kerangka Kaca
;731601;Penggores
;731602;Pengukir
;731603;Pembagas Pasir Kaca
;731604;Pencelup Seramik
;731605;Penyadur Enamel, Kaca
;731606;Penyadur Perak, Cermin
;731607;Pembuat Alat Elektrotaip
;731608;Pembuat Alat Stereotaip
;731609;Penghala, Plat Pencetak
;731610;Pelukis Hiasan
;731611;Penulis Papan Tanda
;731612;Pengukir Kaca
;731701;Penganyam Tikar
;731702;Pekerja Kraftangan, Barangan Kayu
;731703;Pembuat Bakul
;731704;Pembuat Penyapu
;731705;Pekerja Kraftangan, Tenunan Buluh
;731706;Pekerja Kraftangan, Barangan Batu
;731707;Pembuat Berus
;731708;Pembuat Perabot Rotan
;731709;Pembuat Anyaman Rotan
;731710;Pengajar Pemintal
;731801;Penganyam Songket
;731802;Pencanting Batik
;731803;Pembuat Barangan Kulit
;731804;Pekerja Kraftangan, Karpet
;731805;Pekerja Kraftangan, Barangan Kulit
;731806;Pekerja Kraftangan, Tekstil
;731807;Penyikat Gentian Tekstil
;731808;Perayau Gentian Tekstil
;731809;Perajut
;731810;Pemutar Benang dan Yarn
;731811;Penenun Karpet
;731901;Pembuat Lencana
;731902;Pekerja Tukangan
;731903;Pembuat Mainan Logam
;731904;Pembuat Aksesori
;731905;Pekerja Kraftangan
;732101;Pengatur Huruf
;732102;Pembuat Plat Braille
;732103;Pengatur Taip
;732104;Pekerja Kelengkapan Penerbitan Desktop
;732105;Pekerja Penekan Garisan
;732106;Pekerja Talian Rentas
;732107;Pembuat Skrin
;732108;Juruteknik Pra-Penekan Elektronik
;732109;Pembuat Plat (Pencetakan)
;732201;Pencetak
;732202;Pencetak Tekstil
;732203;Pencetak Blok
;732204;Operator Penekan Pencetakan Timbul
;732205;Penyurih Corak Tekstil
;732206;Operator Penekan Digital
;732207;Pengendali Feeder (Pencetakan)
;732208;Operator Penekan Flexographic
;732209;Operator Penekan Gravure
;732210;Pencetak Skrin
;732211;Operator Penekan Pencetakan Skrin
;732212;Operator Penekan Web
;732213;Operator Mesin, Penekan Cetak Silinder
;732214;Operator Mesin, Penekan Cetak Ofset
;732215;Operator Mesin, Penekan Cetak Putar
;732216;Operator Mesin, Penekan Cetak Rotogravure
;732217;Operator Mesin, Penekan Cetak Litografi Langsung
;732218;Operator Mesin, Penekan Cetak Kertas Dinding
;732219;Pencetak Kertas Dinding
;732220;Operator Pencetakan
;732221;Pembantu Pencetakan
;732301;Penjilid Buku
;732302;Pemotong Kertas
;732303;Pelekap Peta dan Carta
;732304;Pencetak Timbul Buku
;732305;Pekerja Kemasan Akhir Buku
;732306;Operator, Collator
;732307;Operator Pemotong
;732308;Operator Foil Stamp
;732309;Operator Folder
;732310;Operator Pelbagai Jilid
;732311;Operator Perfect Binding
;732312;Operator Saddle Stitch
;732313;Operator Mesin, Penjilidan Buku
;732314;Operator Mesin, Ukir Timbul Buku
;732401;Pengukir Pencetakan Plat Logam
;732402;Penggores Pencetakan Plat Logam
;732403;Pengukir Pencetakan Batu Litografi
;732404;Pengukir Foto
;732405;Pekerja Bilik Gelap
;732406;Pencuci Filem Warna dan Hitam Putih
;732407;Pencuci Filem X-Ray
;741101;Juruelektrik Bangunan
;741102;Juruelektrik Pembinaan
;741103;Juruelektrik
;741201;Penjaga Jentera Elektrik Gred J19
;741202;Penjaga Jentera Elektrik Gred 11
;741203;Penjaga Jentera Sekatan Voltan Tinggi
;741204;Jurugegas Elektrik
;741205;Jurugegas Elektrik Lif
;741206;Pendawai
;741207;Pembaik Pulih Elektrik Peralatan Rumah
;741208;Fomen Elektrik
;741209;Fomen Penyelenggaraan
;741210;Penjana Generator Elektrik
;741211;Jurugegas Elektrik Jentera Pejabat
;741212;Jurugegas Elektrik Motor dan Dinamo
;741213;Jurugegas Penyelenggaraan
;741214;Juruelektrik Kapal
;741215;Juruelektrik Kenderaan
;741216;Juruelektrik Pesawat
;741217;Juruelektrik Pentas dan Studio
;741218;Mekanik Lif
;741219;Mekanik Elektrik
;741220;Jurugegas Generator Elektrik
;741221;Penjaga Jentera Elektrik
;741222;Penjaga Jentera Elektrik Gred P4
;741223;Penjaga Jentera Elektrik AO
;741224;Penjaga Jentera Elektrik BO
;741225;Pendawai Elektrik
;741226;Penjaga Jentera Elektrik Gred J26
;741301;Pemasang Talian Kuasa Elektrik
;741302;Pekerja Talian Kabel 
;741303;Penyambung Kabel Elektrik
;741304;Pemasang Kabel Bawah Tanah
;741305;Pemasang Kabel Bawah Laut
;741306;Pekerja Sistem Pembaik
;741307;Juruelektrik Penyelenggaraan
;741308;Pemasang Pemanas dan Penyelenggaraan Terma Solar
;741309;Pemasang Penyelenggaraan dan Pemasangan Photovoltaic Solar
;741310;Pemasang Penyelenggaraan dan Pemasangan Air Panas Solar
;741311;Pemasang Penyelenggaraan dan Pemasangan Biomas
;741312;Pemasang Penyelenggaraan dan Pemasangan Hydro
;742101;Jurugegas Elektronik
;742102;Pembaik Elektronik
;742103;Jurugegas Elektronik, Kelengkapan Perindustrian
;742104;Jurugegas Elektronik, Kelengkapan Meteorologi
;742105;Mekanik Kelengkapan Elektronik
;742201;Pemasang Wayar Telefon
;742202;Pemasang Telefon dan Telegraf
;742203;Mekanik Telefon dan Telegraf
;742204;Penservis Telefon dan Telegraf
;742205;Pekerja Sokongan Teknologi Maklumat
;742206;Pekerja Kabel Data dan Telekomukasi
;742207;Jurugegas Peralatan Komputer
;742208;Jurugegas Elektronik Peralatan Radio Televisyen
;742209;Jurugegas Elektronik Peralatan Video
;742210;Jurugegas Elektronik Peralatan Radar
;742211;Jurugegas Elektronik Komputer
;742212;Operator Rangkaian
;742213;Operator Peralatan Tanpa Wayar
;742214;Operator Komputer Gred 14
;751101;Penyembelih
;751102;Pemotong Daging
;751103;Penghiris Daging
;751104;Pembuat Sosej
;751105;Pengawet Daging
;751106;Penggaram Ikan
;751107;Penjeruk Ikan
;751108;Pemfilet Ikan
;751109;Pembersih Sarang Burung
;751110;Pemeriksa Halal, Rumah Sembelihan
;751111;Penyembelih Halal, Rumah Sembelihan
;751201;Pembuat Roti
;751202;Pembuat Pastri
;751203;Pembuat Konfeksi
;751204;Pembuat Coklat
;751205;Pembuat Yis
;751206;Pembuat Mee
;751207;Pembuat Pasta
;751208;Pembuat Gula-Gula Getah
;751209;Pembantu Bakeri
;751301;Pembuat Keju
;751302;Pembuat Yogurt
;751303;Pembuat Mentega
;751401;Pengawet Buah
;751402;Pengawet Sayuran
;751403;Pembuat Jus Buah-Buahan
;751404;Pembuat Sirap
;751405;Pembuat Jus Sayur-Sayuran
;751406;Pengekstrak Minyak Masak
;751407;Pemerah Minyak
;751408;Penjeruk Sayuran/Buah
;751501;Perasa Makanan
;751502;Perasa Minuman
;751503;Penggred Makanan
;751504;Perasa dan Penggred Teh
;751505;Perasa dan Penggred Kopi
;751506;Perasa dan Penggred Makanan
;751507;Perasa dan Penggred Arak
;751508;Penggred Daging
;751509;Penggred Buah-Buahan
