#;RECORD_VERSION;Kod Ringkas;Kod Penuh;NAMA_MELAYU;NAME_EN;c1;c2;c3;c4;UNIT;Catatan
"";"2009v1.1";"113501";"113501001";"Vegetable seeds";"Vegetable seeds";"1260";"120991000";"";"";"";""
"";"2009v1.1";"113601";"113601001";"Celery, other than celeriac";"Celery, other than celeriac";"1290";"070940000";"";"";"";""
"";"2009v1.1";"113601";"113601002";"Baby corn (putik jagung)";"Baby corn (putik jagung)";"1290";"070990100";"";"";"";""
"";"2009v1.1";"113601";"113601003";"Bean shoots and sprouts";"Bean shoots and sprouts";"1290";"070940000";"";"";"";""
"";"2009v1.1";"113601";"113601004";"Soya bean sprouts";"Soya bean sprouts";"1290";"070940000";"";"";"";""
"";"2009v1.1";"113601";"113601005";"Chinese water chestnut (eleocharis dulcis)";"Chinese water chestnut (eleocharis dulcis)";"1290";"070940000";"";"";"";""
"";"2009v1.1";"113601";"113601006";"Other vegetables";"Other vegetables";"1290";"070940000";"";"";"";""
"";"2009v1.1";"113701";"113701001";"Sugar beet";"Sugar beet";"1801";"121291000";"";"";"";""
"";"2009v1.1";"113702";"113702001";"Sugar beet seed";"Sugar beet seed";"1803";"120911000";"";"";"";""
"";"2009v1.1";"113801";"113801001";"Kucai (chinese chives)";"Kucai (chinese chives)";"1219";"070990900";"";"";"";""
"";"2009v1.1";"113802";"113802001";"Carrots and turnips";"Carrots and turnips";"1251";"070610000";"";"";"";""
"";"2009v1.1";"113803";"113803001";"Garlic";"Garlic";"1252";"070320000";"";"";"";""
"";"2009v1.1";"113804";"113804001";"Onions and shallots";"Onions and shallots";"1253";"070310000";"";"";"";""
"";"2009v1.1";"113805";"113805001";"Leeks and other alliaceous vegetables";"Leeks and other alliaceous vegetables";"1254";"070390000";"";"";"";""
"";"2009v1.1";"113806";"113806001";"Salad beet root, salsify, celeriac, radishes and similar edible roots";"Salad beet root, salsify, celeriac, radishes and similar edible roots";"1259";"070690000";"";"";"";""
"";"2009v1.1";"113806";"113806002";"Other root, bulb and tuberous vegetables, n.e.c.";"Other root, bulb and tuberous vegetables, n.e.c.";"1259";"070690000";"";"";"";""
"";"2009v1.1";"113807";"113807001";"Potato germinated";"Potato germinated";"1510";"070110000";"";"";"";""
"";"2009v1.1";"113807";"113807002";"Potatoes";"Potatoes";"1510";"070190000";"";"";"";""
"";"2009v1.1";"113808";"113808001";"Sweet potatoes (keledek)";"Sweet potatoes (keledek)";"1591";"071420000";"";"";"";""
"";"2009v1.1";"113809";"113809001";"Ubi kayu, (Manioc / cassava / tapioca)";"Ubi kayu, (Manioc / cassava / tapioca)";"1592";"071410100";"";"";"";""
"";"2009v1.1";"113810";"113810001";"Yams";"Yams";"1593";"071490900";"";"";"";""
"";"2009v1.1";"113811";"113811001";"Other edible roots and tubers with high starch or inulin content, n.e.c.";"Other edible roots and tubers with high starch or inulin content, n.e.c.";"1599";"071490900";"";"";"";""
"";"2009v1.1";"114001";"114001001";"Sugar cane";"Sugar cane";"1802";"121292000";"";"";"";""
"";"2009v1.1";"115001";"115001001";"Tobacco leaves, fresh";"Tobacco leaves, fresh";"1970";"2401.10";"";"";"";""
"";"2009v1.1";"116001";"116001001";"Cotton, whether or not ginned";"Cotton, whether or not ginned";"1921";"520100000";"";"";"";""
"";"2009v1.1";"116002";"116002001";"Jute and other textile bast fibres, raw or retted";"Jute and other textile bast fibres, raw or retted";"1922";"530310000";"";"";"";""
"";"2009v1.1";"116002";"116002002";"Kenaf";"Kenaf";"1922";"530310000";"";"";"";""
"";"2009v1.1";"116003";"116003001";"Sisal and other textile fibres of the genus Agave, raw";"Sisal and other textile fibres of the genus Agave, raw";"1929";"530500000";"";"";"";""
"";"2009v1.1";"116003";"116003002";"True hemp, raw or retted";"True hemp, raw or retted";"1929";"530210000";"";"";"";""
"";"2009v1.1";"116003";"116003003";"Coconut coir, raw";"Coconut coir, raw";"1929";"530500000";"";"";"";""
"";"2009v1.1";"116003";"116003004";"Abaca, raw";"Abaca, raw";"1929";"530500000";"";"";"";""
"";"2009v1.1";"116003";"116003005";"Flax, raw or retted";"Flax, raw or retted";"1929";"530500000";"";"";"";""
"";"2009v1.1";"116003";"116003006";"Other vegetable textile fibres, raw or processed but not spun and their waste";"Other vegetable textile fibres, raw or processed but not spun and their waste";"1929";"530500000";"";"";"";""
"";"2009v1.1";"119101";"119101001";"Orchid, fresh";"Orchid, fresh";"1962";"060313000";"";"";"";""
"";"2009v1.1";"119101";"119101002";"Rose, fresh";"Rose, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101003";"Aster, fresh";"Aster, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101004";"Chrysanthemum, fresh";"Chrysanthemum, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101005";"Dahlia, fresh";"Dahlia, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101006";"Dianthus, fresh";"Dianthus, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101007";"Gerbera, fresh";"Gerbera, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101008";"Helianthus, fresh";"Helianthus, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101009";"Heliconia, fresh";"Heliconia, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101010";"Lilium, fresh";"Lilium, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101011";"Anthurium, fresh";"Anthurium, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101012";"Other cut flowers and flower buds, fresh";"Other cut flowers and flower buds, fresh";"1962";"060319000";"";"";"";""
"";"2009v1.1";"119101";"119101013";"Other cut flowers and flower buds, other than fresh";"Other cut flowers and flower buds, other than fresh";"1962";"060390000";"";"";"";""
"";"2009v1.1";"119201";"119201001";"Seeds of herbaceous plants cultivated principally for their flowers";"Seeds of herbaceous plants cultivated principally for their flowers";"1963";"120930000";"";"";"";""
"";"2009v1.1";"119301";"119301001";"Sago pith, fresh or dried";"Sago pith, fresh or dried";"1190";"100890000";"";"";"";""
"";"2009v1.1";"119301";"119301002";"Sago (rumbia) leaves";"Sago (rumbia) leaves";"1190";"100890000";"";"";"";""
"";"2009v1.1";"119901";"119901001";"Maize for forage and silage";"Maize for forage and silage";"1911";"121490000";"";"";"";""
"";"2009v1.1";"119902";"119902001";"Alfalfa for forage and silage";"Alfalfa for forage and silage";"1912";"1214.90*";"";"";"";""
"";"2009v1.1";"119903";"119903001";"Cereal straw and husks, unprepared, ground, pressed, or in the form of pellets";"Cereal straw and husks, unprepared, ground, pressed, or in the form of pellets";"1913";"121300100";"";"";"";""
"";"2009v1.1";"119904";"119904001";"Other fodder roots, hay and similar forage products, whether or not in the form of pellets";"Other fodder roots, hay and similar forage products, whether or not in the form of pellets";"1919";"121490000";"";"";"";""
"";"2009v1.1";"119905";"119905001";"Lucerne (alfalfa) seed";"Lucerne (alfalfa) seed";"1940";"120921000";"";"";"";""
"";"2009v1.1";"119905";"119905002";"Clover seed";"Clover seed";"1940";"120922000";"";"";"";""
"";"2009v1.1";"119905";"119905003";"Fescue seed";"Fescue seed";"1940";"120923000";"";"";"";""
"";"2009v1.1";"119905";"119905004";"Kentucky blue grass seed";"Kentucky blue grass seed";"1940";"120924000";"";"";"";""
"";"2009v1.1";"119905";"119905005";"Rye grass seed";"Rye grass seed";"1940";"120925000";"";"";"";""
"";"2009v1.1";"119905";"119905006";"Timothy grass seed";"Timothy grass seed";"1940";"120926000";"";"";"";""
"";"2009v1.1";"119905";"119905007";"Other seeds of forage plants, other than beet seed";"Other seeds of forage plants, other than beet seed";"1940";"120929000";"";"";"";""
"";"2009v1.1";"121001";"121001001";"Grapes";"Grapes";"1330";"080610000";"";"";"";""
"";"2009v1.1";"122101";"122101001";"Pisang mas";"Pisang mas";"1312";"080300100";"";"";"";""
"";"2009v1.1";"122101";"122101002";"Pisang rastali";"Pisang rastali";"1312";"080300200";"";"";"";""
"";"2009v1.1";"122101";"122101003";"Pisang berangan";"Pisang berangan";"1312";"080300300";"";"";"";""
"";"2009v1.1";"122101";"122101004";"Pisang embun";"Pisang embun";"1312";"080300400";"";"";"";""
"";"2009v1.1";"122101";"122101005";"Other bananas";"Other bananas";"1312";"080300400";"";"";"";""
"";"2009v1.1";"122102";"122102001";"Bananas, plantains";"Bananas, plantains";"1313";"080300900";"";"";"";""
"";"2009v1.1";"122201";"122201001";"Mangoes";"Mangoes";"1316";"080450200";"";"";"";""
"";"2009v1.1";"122201";"122201002";"Kuini";"Kuini";"1316";"080450200";"";"";"";""
"";"2009v1.1";"122201";"122201003";"Bacang (horse mango)";"Bacang (horse mango)";"1316";"080450200";"";"";"";""
"";"2009v1.1";"122201";"122201004";"Other mangoes";"Other mangoes";"1316";"080450200";"";"";"";""
"";"2009v1.1";"122301";"122301001";"Durian";"Durian";"1319";"081090120";"";"";"";""
"";"2009v1.1";"122401";"122401001";"Rambutan";"Rambutan";"1319";"081090110";"";"";"";""
"";"2009v1.1";"122501";"122501001";"Star fruit";"Star fruit";"1319";"081090170";"";"";"";""
"";"2009v1.1";"122601";"122601001";"Mardi backcross solo (betik solo)";"Mardi backcross solo (betik solo)";"1317";"080720100";"";"";"";""
"";"2009v1.1";"122602";"122602001";"Other papayas";"Other papayas";"1319";"080720900";"";"";"";""
"";"2009v1.1";"122701";"122701001";"Pineapples";"Pineapples";"1318";"080430000";"";"";"";""
"";"2009v1.1";"122801";"122801001";"Pitaya (dragon fruit)";"Pitaya (dragon fruit)";"1399";"081090190";"";"";"";""
"";"2009v1.1";"122901";"122901001";"Avocados";"Avocados";"1311";"080440000";"";"";"";""
"";"2009v1.1";"122902";"122902001";"Dates";"Dates";"1314";"080410000";"";"";"";""
"";"2009v1.1";"122903";"122903001";"Figs";"Figs";"1315";"080420000";"";"";"";""
"";"2009v1.1";"122904";"122904001";"Mangosteens (Mesta)";"Mangosteens (Mesta)";"1319";"080450300";"";"";"";""
"";"2009v1.1";"122904";"122904002";"Langsat";"Langsat";"1319";"081090120";"";"";"";""
"";"2009v1.1";"122904";"122904003";"Jack fruit (cempedak and nangka)";"Jack fruit (cempedak and nangka)";"1319";"081090130";"";"";"";""
"";"2009v1.1";"122904";"122904004";"Mata kucing (including longan)";"Mata kucing (including longan)";"1319";"081090140";"";"";"";""
"";"2009v1.1";"122904";"122904005";"Cikus (sapodilla)";"Cikus (sapodilla)";"1319";"081090150";"";"";"";""
"";"2009v1.1";"122904";"122904006";"Kundang";"Kundang";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904007";"Lychees";"Lychees";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904008";"Duku";"Duku";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904009";"Duku langsat";"Duku langsat";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904010";"Dokong";"Dokong";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904011";"Soursop (durian belanda)";"Soursop (durian belanda)";"1319";"081090190";"";"";"";""
