"";"A";"014";"Kumpulan 014 : Pengeluaran ternakan";"_";"_"
"";"A";"0141(1)";"Penternakan lembu dan kerbau";"_";"(1)Tidak termasuk: pemprosesan susu, lihat 1050"
"";"A";"01411";"Penternakan, pembiakan dan pengeluaran lembu(2) 01411p,";"01413";"(2)Termasuk: pengeluaran air mani lembu"
"";"A";"01412";"Penternakan, pembiakan dan pengeluaran kerbau";"01411p";"_"
"";"A";"01413";"Pengeluaran susu mentah daripada lembu atau kerbau";"01412";"_"
"";"A";"0142(3)";"Penternakan kuda dan kuda lumba lain";"_";"(3)Termasuk: kuda lumba<br>Tidak termasuk: operasi kandang untuk kuda perlumbaan dan tunggangan, lihat 9319"
"";"A";"01420";"Penternakan dan pembiakan kuda, keldai, baghal atau hinnes";"01420";"_"
"";"A";"0143";"Penternakan unta dan camelid";"_";"_"
"";"A";"01430";"Penternakan dan pembiakan unta (dromedary) dan camelid";"01430";"_"
"";"A";"0144(4)";"Penternakan biri-biri dan kambing";"_";"(4)Tidak termasuk:<br>(a) pengguntingan bulu biri-biri berasaskan yuran atau kontrak, lihat 0162 <br>(b) pengeluaran bulu biri-biri, lihat 10103 <br>(c) pemprosesan susu, lihat 1050"
"";"A";"01441";"Penternakan, pembiakan dan pengeluaran biri-biri";"01441p";"_"
"";"A";"01442";"Penternakan, pembiakan dan pengeluaran kambing";"01441p";"_"
"";"A";"01443";"Pengeluaran susu mentah biri-biri atau kambing";"01442";"_"
"";"A";"01444";"Pengeluaran bulu belum proses";"01443";"_"
"";"A";"0145";"Penternakan babi";"_";"_"
"";"A";"01450";"Penternakan, pembiakan dan pengeluaran babi";"01450";"_"
"";"A";"01";"BAHAGIAN 01 : PENGELUARAN TANAMAN DAN TERNAKAN, PEMBURUAN DAN";"_";"_"
"";"A";"014";"Kumpulan 014 : Pengeluaran ternakan";"_";"_"
"";"A";"0146(1)";"Penternakan unggas";"_";"(1)Tidak termasuk: pengeluaran bulu, lihat 1010"
"";"A";"01461";"Penternakan, pembiakan dan pengeluaran ayam, ayam daging";"01461p";"_"
