;01005073;01-005-073;JOHOR;2
;01005074;01-005-074;JOHOR;2
;01005075;01-005-075;JOHOR;2
;01005076;01-005-076;JOHOR;2
;01005077;01-005-077;JOHOR;2
;01005078;01-005-078;JOHOR;2
;01005079;01-005-079;JOHOR;2
;01005080;01-005-080;JOHOR;2
;01005081;01-005-081;JOHOR;2
;01005082;01-005-082;JOHOR;2
;01006001;01-006-001;JOHOR;1
;01006002;01-006-002;JOHOR;1
;01006003;01-006-003;JOHOR;1
;01006004;01-006-004;JOHOR;1
;01006005;01-006-005;JOHOR;1
;01006006;01-006-006;JOHOR;1
;01006007;01-006-007;JOHOR;1
;01006008;01-006-008;JOHOR;1
;01006009;01-006-009;JOHOR;1
;01006010;01-006-010;JOHOR;1
;01006011;01-006-011;JOHOR;1
;01006012;01-006-012;JOHOR;1
;01006013;01-006-013;JOHOR;1
;01006014;01-006-014;JOHOR;1
;01006015;01-006-015;JOHOR;1
;01006016;01-006-016;JOHOR;1
;01006017;01-006-017;JOHOR;1
;01006018;01-006-018;JOHOR;1
;01006019;01-006-019;JOHOR;1
;01006020;01-006-020;JOHOR;1
;01006021;01-006-021;JOHOR;1
;01006022;01-006-022;JOHOR;1
;01006023;01-006-023;JOHOR;1
;01006024;01-006-024;JOHOR;1
;01006025;01-006-025;JOHOR;1
;01006026;01-006-026;JOHOR;1
;01006027;01-006-027;JOHOR;1
;01006028;01-006-028;JOHOR;1
;01006029;01-006-029;JOHOR;1
;01006030;01-006-030;JOHOR;1
;01006031;01-006-031;JOHOR;1
;01006032;01-006-032;JOHOR;1
;01006033;01-006-033;JOHOR;1
;01006034;01-006-034;JOHOR;1
;01006035;01-006-035;JOHOR;1
;01006036;01-006-036;JOHOR;1
;01006037;01-006-037;JOHOR;1
;01006038;01-006-038;JOHOR;1
;01006039;01-006-039;JOHOR;1
;01006040;01-006-040;JOHOR;1
;01006041;01-006-041;JOHOR;1
;01006042;01-006-042;JOHOR;1
;01006043;01-006-043;JOHOR;1
;01006044;01-006-044;JOHOR;1
;01006045;01-006-045;JOHOR;1
;01006046;01-006-046;JOHOR;1
;01006047;01-006-047;JOHOR;1
;01006048;01-006-048;JOHOR;1
;01006049;01-006-049;JOHOR;1
;01006050;01-006-050;JOHOR;1
;01006051;01-006-051;JOHOR;1
;01006052;01-006-052;JOHOR;1
;01006053;01-006-053;JOHOR;1
;01006054;01-006-054;JOHOR;1
;01006055;01-006-055;JOHOR;4
;01006056;01-006-056;JOHOR;1
;01006057;01-006-057;JOHOR;1
;01006058;01-006-058;JOHOR;1
;01006059;01-006-059;JOHOR;1
;01006060;01-006-060;JOHOR;1
;01006061;01-006-061;JOHOR;1
;01006062;01-006-062;JOHOR;1
;01006063;01-006-063;JOHOR;1
;01006064;01-006-064;JOHOR;1
;01006065;01-006-065;JOHOR;1
;01006066;01-006-066;JOHOR;1
;01006067;01-006-067;JOHOR;1
;01006068;01-006-068;JOHOR;1
;01006069;01-006-069;JOHOR;1
;01006070;01-006-070;JOHOR;1
;01006071;01-006-071;JOHOR;1
;01006072;01-006-072;JOHOR;1
;01006073;01-006-073;JOHOR;1
;01006074;01-006-074;JOHOR;1
;01006075;01-006-075;JOHOR;1
;01006076;01-006-076;JOHOR;1
;01006077;01-006-077;JOHOR;1
;01006078;01-006-078;JOHOR;1
;01006079;01-006-079;JOHOR;1
;01006080;01-006-080;JOHOR;1
;01006081;01-006-081;JOHOR;1
;01006082;01-006-082;JOHOR;1
;01006083;01-006-083;JOHOR;1
;01006084;01-006-084;JOHOR;1
;01006085;01-006-085;JOHOR;1
;01006086;01-006-086;JOHOR;1
;01006087;01-006-087;JOHOR;1
;01007001;01-007-001;JOHOR;4
;01007002;01-007-002;JOHOR;4
;01007003;01-007-003;JOHOR;4
;01007004;01-007-004;JOHOR;4
;01007005;01-007-005;JOHOR;4
;01007006;01-007-006;JOHOR;4
;01007007;01-007-007;JOHOR;3
;01007008;01-007-008;JOHOR;4
;01007009;01-007-009;JOHOR;3
;01007010;01-007-010;JOHOR;3
