"";"PEMBUATAN";"PEMBUATAN";"205";"17092";"Manufacture of household and personal hygiene paper";"17092";"Pembuatan kertas kegunaan rumah dan pembersih peribadi"
"";"PEMBUATAN";"PEMBUATAN";"205";"17093";"Manufacture of gummed or adhesive paper in strips or rolls and labels and wall paper ";"17093";"Pembuatan kertas bergam atau pelekat yang berjalur atau bergulung dan label dan kertas dinding"
"";"PEMBUATAN";"PEMBUATAN";"205";"17094";"Manufacture of effigies, funeral paper goods, joss paper";"17094";"Pembuatan patung, barangan kertas upacara pengebumian, kertas colok"
"";"PEMBUATAN";"PEMBUATAN";"205";"17099";"Manufacture of other articles of paper and paperboard n.e.c.";"17099";"Pembuatan barang kertas dan kertas tebal lain yang t.t.t.l."
"";"PEMBUATAN";"PEMBUATAN";"205";"18110";"Printing";"18110";"Percetakan"
"";"PEMBUATAN";"PEMBUATAN";"205";"18120";"Service activities related to printing";"18120";"Aktiviti perkhidmatan berkaitan percetakan"
"";"PEMBUATAN";"PEMBUATAN";"205";"18200";"Reproduction of recorded media";"18200";"Penerbitan semula media rakaman"
"";"PEMBUATAN";"PEMBUATAN";"205";"20111";"Manufacture of liquefied or compressed inorganic industrial or medical gases";"20111";"Pembuatan gas perindustrian atau perubatan bukan organik dalam bentuk cecair atau mampat"
"";"PEMBUATAN";"PEMBUATAN";"205";"20112";"Manufacture of basic organic chemicals";"20112";"Pembuatan kimia organik asas"
"";"PEMBUATAN";"PEMBUATAN";"205";"20113";"Manufacture of inorganic compounds";"20113";"Pembuatan sebatian bukan organik"
"";"PEMBUATAN";"PEMBUATAN";"205";"20121";"Manufacture of fertilizers";"20121";"Pembuatan baja"
"";"PEMBUATAN";"PEMBUATAN";"205";"20129";"Manufacture of associated nitrogen products";"20129";"Pembuatan produk campuran nitrogen"
"";"PEMBUATAN";"PEMBUATAN";"205";"20131";"Manufacture of plastics in primary forms ";"20131";"Pembuatan getah sintetik dalam bentuk primer: getah sintetik, tiruan"
"";"PEMBUATAN";"PEMBUATAN";"205";"20133";"Manufacture of mixtures of synthetic rubber and natural rubber or rubber - like gums";"20133";"Pembuatan campuran getah sintetik dan getah asli atau getahâ€“seperti perekat"
"";"PEMBUATAN";"PEMBUATAN";"205";"20210";"Manufacture of pesticides and other agrochemical products";"20210";"Pembuatan racun perosak dan produk agrokimia lain"
"";"PEMBUATAN";"PEMBUATAN";"205";"20221";"Manufacture of paints, varnishes and similar coatings ink and mastics";"20221";"Pembuatan cat, varnis dan penyadur dan mastik"
"";"PEMBUATAN";"PEMBUATAN";"205";"20222";"Manufacture of printing ink";"20222";"Pembuatan dakwat cetak"
"";"PEMBUATAN";"PEMBUATAN";"205";"20231";"Manufacture of soap and detergents, cleaning and polishing preparations";"20231";"Pembuatan sabun dan bahan pencuci, penyediaan membersih dan mengilat"
"";"PEMBUATAN";"PEMBUATAN";"205";"20232";"Manufacture of perfumes and toilet preparations";"20232";"Pembuatan pewangi dan penyediaan dandanan diri"
"";"PEMBUATAN";"PEMBUATAN";"205";"20291";"Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials";"20291";"Pembuatan plat fotografi, filem, sensitized paper dan other sensitized unexposed materials"
"";"PEMBUATAN";"PEMBUATAN";"205";"20299";"Manufacture of other chemical products n.e.c.";"20299";"Pembuatan produk kimia lain t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"20300";"Manufacture of man-made fibres";"20300";"Pembuatan serat buatan manusia"
"";"PEMBUATAN";"PEMBUATAN";"205";"21001";"Manufacture of medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments";"21001";"Pembuatan bahan aktif ubat-ubatan untuk digunakan oleh bidang farmakologi dalam pembuatan ubat-ubatan"
"";"PEMBUATAN";"PEMBUATAN";"205";"21003";"Manufacture of medicaments";"21003";"Pembuatan ubat-ubatan"
"";"PEMBUATAN";"PEMBUATAN";"205";"21007";"Manufacture of biotech pharmaceuticals";"21007";"Pembuatan farmaseutikal bioteknologi"
"";"PEMBUATAN";"PEMBUATAN";"205";"21008";"Manufacture of herbal medicine";"21009";"Pembuatan produk farmaseutikal, kimia perubatan dan botani t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"22111";"Manufacture of rubber tyres";"22111";"Pembuatan tayar getah untuk kenderaan"
"";"PEMBUATAN";"PEMBUATAN";"205";"22191";"Manufacture of other products of natural or synthetic rubber, unvulcanized, vulcanized or hardened";"22191";"Pembuatan produk lain daripada getah asli atau sintetik, tidak divulkan, divulkan atau dikeraskan"
"";"PEMBUATAN";"PEMBUATAN";"205";"22192";"Manufacture of rubber gloves";"22192";"Pembuatan sarung tangan getah"
"";"PEMBUATAN";"PEMBUATAN";"205";"22193";"Rubber remilling and latex processing";"22193";"Pengilangan semula getah dan prosesan susu getah"
"";"PEMBUATAN";"PEMBUATAN";"205";"22199";"Manufacture of other rubber products n.e.c";"22199";"Pembuatan produk getah lain yang t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"22201";"Manufacture of semi-manufactures of plastic products";"22201";"Pembuatan produk plastik separa siap"
"";"PEMBUATAN";"PEMBUATAN";"205";"22202";"Manufacture of finished plastic products  ";"22202";"Pembuatan produk plastik siap"
"";"PEMBUATAN";"PEMBUATAN";"205";"22203";"Manufacture of plastic articles for the packing of goods";"22203";"Pembuatan artikel plastik untuk pembungkusan barangan"
"";"PEMBUATAN";"PEMBUATAN";"205";"22204";"Manufacture of builders' plastic ware";"22204";"Pembuatan barangan plastik jurubina"
"";"PEMBUATAN";"PEMBUATAN";"205";"22205";"Manufacture of plastic tableware, kitchenware and toilet articles";"22205";"Pembuatan pinggan mangkuk, peralatan dapur dan barangan tandas daripada plastik"
"";"PEMBUATAN";"PEMBUATAN";"205";"22209";"Manufacture of diverse plastic products n.e.c.";"22209";"Pembuatan pelbagai produk plastik t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"23101";"Manufacture of flat glass, including wired, coloured or tinted flat glass";"23101";"Pembuatan kaca leper, termasuk kaca leper berdawai, berwarna atau sedikit berwarna"
"";"PEMBUATAN";"PEMBUATAN";"205";"23102";"Manufacture of laboratory, hygienic or pharmaceutical glassware";"23102";"Pembuatan barangan kaca makmal, barangan kesihatan atau farmaseutikal"
