"";"lama-16292";"16292";"Pembuatan produk kayu lain, rotan, artikel gabus, jerami dan bahan jalinan"
"";"lama-17010p";"17010";"Pembuatan pulpa, kertas dan kertas tebal"
"";"lama-17020";"17020";"Pembuatan kertas gelugur dan kertas tebal dan bekas daripada kertas dan kertas tebal"
"";"lama-17091";"17091";"Pembuatan sampul surat dan kad surat 17092 17092 Pembuatan kertas kegunaan rumah dan pembersih peribadi"
"";"lama-17093";"17093";"Pembuatan kertas bergam atau pelekat berjalur atau bergulung dan label dan kertas dinding"
"";"lama-17094";"17094";"Pembuatan patung, barangan kertas upacara pengebumian, kertas colok"
"";"lama-17010p";"17099";"Pembuatan artikel kertas dan kertas tebal lain yang t.t.t.l."
"";"lama-17099";"17099";"Pembuatan artikel kertas dan kertas tebal lain yang t.t.t.l."
"";"lama-18110";"18110";"Percetakan"
"";"lama-18120";"18120";"Aktiviti perkhidmatan berkaitan percetakan"
"";"lama-18200";"18200";"Penerbitan semula media rakaman"
"";"lama-19100";"19100";"Pembuatan produk ketuhar kok"
"";"lama-19201";"19201";"Pembuatan produk petroleum bertapis| pembuatan produk bahan api fosil"
"";"lama-19202";"19202";"Pembuatan produk biodiesel"
"";"lama-20111";"20111";"Pembuatan gas perindustrian atau perubatan bukan organik dalam bentuk cecair atau mampat"
"";"lama-20112";"20112";"Pembuatan bahan kimia organik asas"
"";"lama-20113";"20113";"Pembuatan sebatian bukan organik"
"";"lama-20119";"20119";"Pembuatan kimia asas lain t.t.t.l."
"";"lama-20121";"20121";"Pembuatan bahan kimia organik asas"
"";"lama-20129";"20129";"Pembuatan produk campuran nitrogen"
"";"lama-20131";"20131";"Pembuatan plastik dalam bentuk primer"
"";"lama-20132";"20132";"Pembuatan getah sintetik dalam bentuk primer"
"";"lama-20133";"20133";"Pembuatan campuran getah sintetik dan getah asli atau getah - seperti perekat"
"";"lama-20210";"20210";"Pembuatan racun perosak dan produk agrokimia lain"
"";"lama-20221";"20221";"Pembuatan cat, varnis dan penyadur seumpamanya, dan mastik"
"";"lama-20222";"20222";"Pembuatan dakwat cetak"
"";"lama-20231";"20231";"Pembuatan sabun dan bahan pencuci, penyediaan membersih dan mengilat"
"";"lama-20232";"20232";"Pembuatan minyak wangi dan persediaan tandas"
"";"lama-20291";"20291";"Pembuatan plat fotografi, filem, kertas pemeka(sensitized paper) dan bahan lain yang tidak terdedah kepada pemekaan(other sensitized unexposed materials)"
"";"lama-20292";"20292";"Pembuatan dakwat menulis dan melukis"
"";"lama-20299p";"20299";"Pembuatan produk kimia lain t.t.t.l."
"";"lama-20300";"20300";"Pembuatan gentian buatan manusia"
"";"lama-21001";"21001";"Pembuatan bahan aktif perubatan untuk digunakan oleh bidang farmakologi dalam pembuatan ubat-ubatan"
"";"lama-21002";"21002";"Pemprosesan darah"
"";"lama-21003";"21003";"Pembuatan ubat-ubatan"
"";"lama-21004";"21004";"Pembuatan produk kimia bagi pencegah kehamilan"
"";"lama-21005";"21005";"Pembuatan penyediaan diagnosis perubatan"
"";"lama-21006";"21006";"Pembuatan bahan diagnosis in-vivo radioaktif"
"";"lama-21007";"21007";"Pembuatan farmaseutikal bioteknologi"
"";"lama-21009p";"21008";"Pembuatan ubat herba"
"";"lama-21009p";"21009";"Pembuatan produk farmaseutikal lain, kimia perubatan dan botani t.t.t.l."
"";"lama-22111";"22111";"Pembuatan tayar getah untuk kenderaan"
"";"lama-22112";"22112";"Pembuatan bunga tayar yang boleh ditukar ganti dan tayar celup"
"";"lama-22191";"22191";"Pembuatan produk lain daripada getah asli atau sintetik, tidak divulkan, divulkan atau dikeraskan"
"";"lama-22192";"22192";"Pembuatan sarung tangan getah"
"";"lama-22193";"22193";"Pengilangan semula getah dan pemprosesan susu getah"
"";"lama-22199";"22199";"Pembuatan produk getah lain yang t.t.t.l."
"";"lama-22201";"22201";"Pembuatan produk plastik separa siap"
"";"lama-22202";"22202";"Pembuatan produk plastik siap"
"";"lama-22203";"22203";"Pembuatan artikel plastik untuk pembungkusan barangan"
"";"lama-22204";"22204";"Pembuatan barangan plastik jurubina"
"";"lama-22205";"22205";"Pembuatan pinggan mangkuk, peralatan dapur dan barangan tandas daripada plastik"
"";"lama-22209";"22209";"Pembuatan pelbagai produk plastik t.t.t.l."
"";"lama-23101";"23101";"Pembuatan kaca rata, termasuk kaca rata berdawai, berwarna atau sedikit berwarna"
"";"lama-23102";"23102";"Pembuatan barangan kaca makmal, barangan kesihatan atau farmaseutikal"
"";"lama-23109";"23109";"Pembuatan produk kaca lain t.t.t.l."
"";"lama-23911";"23911";"Pembuatan mortar refraktori dan konkrit"
"";"lama-23912";"23912";"Pembuatan barangan seramik refraktori"
"";"lama-23921";"23921";"Pembuatan seramik bukan refraktori"
"";"lama-23929p";"23929";"Pembuatan lain-lain bahan binaan dari tanah liat"
"";"lama-23929p";"23930";"Pembuatan produk porselin dan seramik lain"
"";"lama-23930";"23930";"Pembuatan produk porselin dan seramik lain"
"";"lama-23941";"23941";"Pembuatan simen hidraulik"
"";"lama-23942";"23942";"Pembuatan kapur dan plaster"
"";"lama-23951";"23951";"Pembuatan konkrit dan mortar siap bancuh dan bancuhan kering"
