"";""103-Ternakan";"A";"A";"01702";"Taking of wilds animals (dead or alive)";"01702";"01702";"Taking of animals (dead or alive)"
"";""101-Tanaman";"A";"A";"02101";"Planting, replanting, transplanting, thinning and conserving of forests and timber tracts";"02101";"02101";"Planting, replanting, transplanting, thinning and conserving of forests and timber tracts"
"";""101-Tanaman";"A";"A";"02102";"Growing of coppice, pulpwood and fire wood";"02102";"02102";"Growing of coppice, pulpwood and fire wood"
"";""103-Ternakan";"A";"A";"02103";"Operation of forest tree nurseries";"02103";"02103";"Operation of forest tree nurseries"
"";""101-Tanaman";"A";"A";"02104";"Collection and raising of wildings (peat swamp forest tree species)";"02104";"02104";"Collection and raising of wildings (peat swamp forest tree species)"
"";""101-Tanaman";"A";"A";"02105";"Forest plantation";"02105";"02105";"Forest plantation"
"";""101-Tanaman";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02201";"Production of round wood for forest-based manufacturing industries"
"";""101-Tanaman";"A";"A";"02201";"Production of round wood for forest-based manufacturing industries";"02201p";"02201";"Production of round wood for forest-based manufacturing industries"
"";""101-Tanaman";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02202";"Production of round wood used in an unprocessed form"
"";""101-Tanaman";"A";"A";"02202";"Production of round wood used in an unprocessed form";"02202p";"02202";"Production of round wood used in an unprocessed form"
"";""191-Lain-lain Aktiviti Pertanian";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02203";"Production of charcoal in the forest (using traditional methods)"
"";""191-Lain-lain Aktiviti Pertanian";"A";"A";"02203";"Production of charcoal in the forest (using traditional methods)";"02203p";"02203";"Production of charcoal in the forest (using traditional methods)"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02204";"Rubber wood logging"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02204";"Rubber wood logging";"02204p";"02204";"Rubber wood logging"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02301";"Collection of rattan, bamboo";"02301";"02301";"Collection of rattan, bamboo"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02302";"Bird’s nest collection";"02302";"02302";"Bird’s nest collection"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02303";"Wild sago palm collection";"02303";"02303";"Wild sago palm collection"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02309";"Gathering of non-wood forest products n.e.c.";"02309";"02309";"Gathering of non-wood forest products n.e.c."
"";""104-Perhutanan dan Pembalakan";"A";"A";"02401";"Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities";"02401";"02401";"Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities"
"";""104-Perhutanan dan Pembalakan";"A";"A";"02402";"Carrying out part of the forestry operation on a fee or contract basis for logging service activities";"02402";"02402";"Carrying out part of the forestry operation on a fee or contract basis for logging service activities"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03111";"Fishing on a commercial basis in ocean and coastal waters";"03111p";"03111";"Fishing on a commercial basis in ocean and coastal waters"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03116";"Taking of ornamental fish in the sea";"03111p";"03111";"Fishing on a commercial basis in ocean and coastal waters"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03112";"Collection of marine crustaceans and molluscs";"03112";"03112";"Collection of marine crustaceans and molluscs"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03113";"Taking of aquatic animals: sea squirts, tunicates, sea urchins";"03113";"03113";"Taking of aquatic animals: sea squirts, tunicates, sea urchins"
